category,status,product_count,total_inventory_value,total_stock,avg_unit_price,low_stock_count,avg_reorder_quantity,low_stock_pct,gold_processed_at
Bakery,Active,22,5840.15,1325,4.41,10,49.5,45.45,2026-05-16 03:34:18
Bakery,Backordered,29,6218.25,1679,3.74,13,63.0,44.83,2026-05-16 03:34:18
Bakery,Discontinued,23,4730.4,1171,4.14,12,48.7,52.17,2026-05-16 03:34:18
Beverages,Active,13,4144.5,552,7.62,8,50.2,61.54,2026-05-16 03:34:18
Beverages,Backordered,6,2507.7,258,9.38,4,74.3,66.67,2026-05-16 03:34:18
Beverages,Discontinued,9,3331.0,395,8.72,6,61.4,66.67,2026-05-16 03:34:18
Dairy,Active,51,14167.05,3006,4.69,14,41.1,27.45,2026-05-16 03:34:18
Dairy,Backordered,53,11458.2,2795,3.82,31,52.5,58.49,2026-05-16 03:34:18
Dairy,Discontinued,62,13161.7,3555,3.68,33,56.7,53.23,2026-05-16 03:34:18
Fruits & Vegetables,Active,106,21705.47,5829,3.83,52,50.1,49.06,2026-05-16 03:34:18
Fruits & Vegetables,Backordered,109,23506.25,6239,3.8,43,47.3,39.45,2026-05-16 03:34:18
Fruits & Vegetables,Discontinued,108,22270.65,5883,3.8,50,52.6,46.3,2026-05-16 03:34:18
Grains & Pulses,Active,54,9426.1,2602,3.79,24,50.7,44.44,2026-05-16 03:34:18
Grains & Pulses,Backordered,53,10595.0,2726,3.71,31,54.1,58.49,2026-05-16 03:34:18
Grains & Pulses,Discontinued,50,7956.6,2497,3.48,27,60.4,54.0,2026-05-16 03:34:18
Oils & Fats,Active,23,5939.4,1376,4.49,7,38.6,30.43,2026-05-16 03:34:18
Oils & Fats,Backordered,23,4242.4,1124,3.84,14,55.6,60.87,2026-05-16 03:34:18
Oils & Fats,Discontinued,30,6039.7,1524,4.17,19,52.5,63.33,2026-05-16 03:34:18
Seafood,Active,17,6358.5,798,8.21,11,46.1,64.71,2026-05-16 03:34:18
Seafood,Backordered,14,6948.5,904,7.76,7,62.4,50.0,2026-05-16 03:34:18
Seafood,Discontinued,18,7937.2,978,8.24,8,52.4,44.44,2026-05-16 03:34:18
