supplier_name,total_products,categories_supplied,total_inventory_value,total_stock,avg_unit_price,total_sales_volume,avg_turnover_rate,low_stock_count,active_products,last_order_month,low_stock_pct,supply_reliability_score,gold_processed_at
Katz,11,6,2671.25,605,4.29,703,63.09,4,2,2024-11,36.36,77.68,2026-05-17 04:24:58
Babblestorm,7,4,1176.1,348,3.41,403,62.14,1,3,2024-12,14.29,66.41,2026-05-17 04:24:58
Trupe,2,1,368.0,139,2.5,179,89.5,0,1,2024-12,0.0,66.02,2026-05-17 04:24:58
Mybuzz,5,3,948.5,314,3.1,267,68.8,0,2,2024-08,0.0,64.78,2026-05-17 04:24:58
Gigashots,6,4,963.5,348,2.91,427,65.67,2,2,2024-12,33.33,63.2,2026-05-17 04:24:58
Brainbox,1,1,230.0,46,5.0,64,96.0,0,1,2024-09,0.0,61.28,2026-05-17 04:24:58
Aibox,3,3,900.0,153,6.67,194,71.33,0,1,2025-02,0.0,61.28,2026-05-17 04:24:58
Quatz,8,5,1686.0,395,4.09,489,60.88,4,4,2025-02,50.0,60.35,2026-05-17 04:24:58
Fatz,1,1,405.0,90,4.5,81,88.0,0,0,2025-02,0.0,59.81,2026-05-17 04:24:58
Kazio,1,1,667.5,89,7.5,48,94.0,0,1,2024-07,0.0,59.73,2026-05-17 04:24:58
Topicware,2,2,530.1500000000001,140,3.98,173,69.0,0,2,2024-07,0.0,59.33,2026-05-17 04:24:58
Twitterwire,7,3,2189.7,538,4.49,393,40.57,1,2,2024-11,14.29,59.15,2026-05-17 04:24:58
Cogidoo,1,1,258.1,58,4.45,62,89.0,0,1,2024-04,0.0,59.0,2026-05-17 04:24:58
Twitterbridge,2,2,742.5,144,6.25,156,70.0,0,0,2024-07,0.0,58.64,2026-05-17 04:24:58
Divape,1,1,445.0,89,5.0,94,81.0,0,0,2024-11,0.0,58.41,2026-05-17 04:24:58
Einti,3,2,417.2,219,1.57,183,64.0,0,0,2024-09,0.0,58.37,2026-05-17 04:24:58
Jamia,1,1,651.0,93,7.0,72,83.0,0,0,2024-08,0.0,57.73,2026-05-17 04:24:58
Midel,3,3,1199.0,183,6.67,217,55.0,0,2,2025-01,0.0,57.58,2026-05-17 04:24:58
Photobug,7,5,1337.0,357,4.03,468,48.57,3,2,2025-01,42.86,57.45,2026-05-17 04:24:58
Yadel,2,2,728.25,165,4.38,116,72.5,0,1,2025-01,0.0,57.07,2026-05-17 04:24:58
Skimia,6,3,1641.95,312,4.82,427,45.83,2,1,2024-11,33.33,57.06,2026-05-17 04:24:58
Dynava,2,2,942.5,197,4.75,118,68.5,0,0,2025-02,0.0,55.95,2026-05-17 04:24:58
Fadeo,1,1,116.0,58,2.0,53,80.0,0,1,2024-10,0.0,55.69,2026-05-17 04:24:58
Skippad,2,2,896.8,197,4.55,130,65.0,0,1,2024-12,0.0,55.57,2026-05-17 04:24:58
Janyx,3,2,986.5,140,7.17,172,57.0,0,1,2025-01,0.0,55.56,2026-05-17 04:24:58
Innojam,3,2,527.25,137,3.75,132,62.67,0,1,2025-01,0.0,54.96,2026-05-17 04:24:58
Trunyx,3,2,965.2,272,3.6,166,56.0,0,3,2024-04,0.0,54.9,2026-05-17 04:24:58
Chatterbridge,3,3,796.0,248,3.33,166,55.67,0,1,2024-12,0.0,54.79,2026-05-17 04:24:58
Flashset,2,2,356.8,131,2.9,91,69.5,0,1,2024-05,0.0,54.67,2026-05-17 04:24:58
Thoughtmix,2,2,547.6,156,3.9,156,57.0,0,1,2024-11,0.0,54.62,2026-05-17 04:24:58
Realpoint,2,2,200.0,145,1.67,149,57.5,0,0,2024-07,0.0,54.36,2026-05-17 04:24:58
Youbridge,5,3,900.8199999999999,298,2.78,298,67.6,2,2,2025-01,40.0,54.23,2026-05-17 04:24:58
Flashdog,1,1,272.6,94,2.9,57,74.0,0,0,2024-07,0.0,54.07,2026-05-17 04:24:58
Meevee,10,4,1943.3500000000001,513,3.58,534,41.7,6,1,2025-02,60.0,54.06,2026-05-17 04:24:58
Gigabox,3,2,305.6,142,2.13,229,73.33,1,0,2024-08,33.33,53.95,2026-05-17 04:24:58
Yozio,2,2,1030.0,139,7.75,111,63.0,0,1,2025-01,0.0,53.84,2026-05-17 04:24:58
Voonix,1,1,364.9,82,4.45,30,78.0,0,0,2024-11,0.0,53.72,2026-05-17 04:24:58
Devshare,6,4,1627.0,374,4.58,366,61.33,3,1,2025-02,50.0,53.27,2026-05-17 04:24:58
Abata,2,2,280.0,127,2.25,135,56.5,0,1,2025-01,0.0,53.23,2026-05-17 04:24:58
Realmix,2,2,556.0,104,5.5,158,51.5,0,0,2025-01,0.0,53.04,2026-05-17 04:24:58
Eimbee,7,4,1837.0,341,5.09,466,48.14,4,0,2025-01,57.14,52.92,2026-05-17 04:24:58
Oozz,2,2,1218.0,121,10.5,148,53.0,0,1,2025-02,0.0,52.91,2026-05-17 04:24:58
Gabcube,1,1,540.0,60,9.0,95,63.0,0,1,2024-06,0.0,52.9,2026-05-17 04:24:58
Tambee,1,1,340.0,85,4.0,95,63.0,0,1,2024-10,0.0,52.9,2026-05-17 04:24:58
Centidel,1,1,36.0,20,1.8,62,69.0,0,0,2024-06,0.0,52.82,2026-05-17 04:24:58
Edgewire,3,1,670.2,174,2.9,153,51.67,0,1,2024-08,0.0,52.79,2026-05-17 04:24:58
Meezzy,1,1,272.6,58,4.7,85,63.0,0,1,2024-08,0.0,52.31,2026-05-17 04:24:58
Trilia,3,2,750.5,153,5.48,149,83.0,1,2,2024-10,33.33,52.25,2026-05-17 04:24:58
Jaxbean,1,1,441.0,98,4.5,86,62.0,0,0,2024-03,0.0,52.06,2026-05-17 04:24:58
Skinte,2,2,301.75,170,1.78,113,56.5,0,0,2024-07,0.0,51.94,2026-05-17 04:24:58
Meejo,2,2,291.9,180,1.65,91,60.5,0,0,2024-10,0.0,51.89,2026-05-17 04:24:58
Oyondu,4,3,632.3,245,2.61,237,56.75,1,1,2025-02,25.0,51.79,2026-05-17 04:24:58
Blogspan,2,2,574.0,86,6.5,100,57.0,0,1,2024-08,0.0,51.33,2026-05-17 04:24:58
Rooxo,2,1,485.0,100,5.75,86,59.0,0,1,2025-02,0.0,51.13,2026-05-17 04:24:58
Skipstorm,1,1,120.6,67,1.8,78,60.0,0,1,2024-04,0.0,50.97,2026-05-17 04:24:58
Yamia,3,2,785.1,194,3.97,223,64.67,1,1,2024-10,33.33,50.92,2026-05-17 04:24:58
Skipfire,6,4,1343.0,333,4.08,364,53.0,3,1,2025-02,50.0,50.58,2026-05-17 04:24:58
Fiveclub,3,3,1615.0,220,7.17,186,36.33,0,1,2025-02,0.0,49.99,2026-05-17 04:24:58
Babbleblab,1,1,265.0,53,5.0,82,56.0,0,0,2024-11,0.0,49.97,2026-05-17 04:24:58
Kwideo,3,3,1158.6,222,5.03,245,57.33,1,1,2024-07,33.33,49.94,2026-05-17 04:24:58
Zooveo,1,1,222.0,37,6.0,47,62.0,0,0,2024-05,0.0,49.77,2026-05-17 04:24:58
Eare,2,1,768.0,128,6.0,130,46.0,0,0,2024-11,0.0,49.69,2026-05-17 04:24:58
Skibox,4,2,417.0,191,2.2,268,43.25,1,1,2025-02,25.0,49.44,2026-05-17 04:24:58
Gigazoom,5,3,896.4,194,4.76,227,64.6,2,2,2025-02,40.0,49.13,2026-05-17 04:24:58
Voomm,3,2,1164.5,209,6.17,238,56.0,1,1,2024-09,33.33,49.12,2026-05-17 04:24:58
Brainlounge,1,1,207.0,69,3.0,98,50.0,0,0,2024-07,0.0,49.05,2026-05-17 04:24:58
Zazio,1,1,575.0,92,6.25,38,61.0,0,0,2024-12,0.0,48.94,2026-05-17 04:24:58
Reallinks,2,2,800.0,117,7.0,115,46.0,0,0,2024-07,0.0,48.81,2026-05-17 04:24:58
Oyoyo,2,2,756.0,126,6.0,114,94.5,1,1,2025-02,50.0,48.75,2026-05-17 04:24:58
Kaymbo,1,1,14.0,70,0.2,62,55.0,0,0,2024-10,0.0,48.49,2026-05-17 04:24:58
Yodo,5,5,1176.2,319,3.6,322,44.0,2,2,2024-10,40.0,48.33,2026-05-17 04:24:58
Yabox,3,2,1194.4,196,5.27,147,38.33,0,0,2025-01,0.0,48.32,2026-05-17 04:24:58
Blogtags,1,1,77.0,77,1.0,58,55.0,0,0,2025-02,0.0,48.25,2026-05-17 04:24:58
Kimia,2,2,323.7,99,3.9,142,86.5,1,1,2025-02,50.0,47.92,2026-05-17 04:24:58
Demivee,5,3,1868.5,324,6.0,290,48.6,2,3,2024-12,40.0,47.88,2026-05-17 04:24:58
Roombo,3,3,888.5,177,4.83,127,72.67,1,1,2024-10,33.33,47.77,2026-05-17 04:24:58
Skinix,3,1,859.0,196,4.33,264,79.0,2,0,2025-01,66.67,47.76,2026-05-17 04:24:58
Blognation,3,3,1118.3,211,4.45,209,56.67,1,0,2024-08,33.33,47.63,2026-05-17 04:24:58
Ntag,2,2,915.6,175,5.2,84,47.5,0,1,2025-02,0.0,47.46,2026-05-17 04:24:58
Flipopia,5,4,963.5,237,4.5,217,60.4,2,3,2025-02,40.0,47.25,2026-05-17 04:24:58
Jaxworks,3,3,710.5,212,3.75,177,29.0,0,1,2024-08,0.0,47.19,2026-05-17 04:24:58
Edgepulse,1,1,297.0,99,3.0,50,53.0,0,0,2025-01,0.0,47.16,2026-05-17 04:24:58
Fivebridge,6,4,701.9000000000001,300,2.4,372,40.0,3,1,2024-11,50.0,47.03,2026-05-17 04:24:58
Photospace,2,1,632.0,172,4.0,192,74.0,1,1,2025-02,50.0,46.99,2026-05-17 04:24:58
Jaxspan,3,1,411.5,135,3.5,183,59.33,1,2,2025-02,33.33,46.92,2026-05-17 04:24:58
Avaveo,5,3,1310.5,252,4.3,310,41.6,2,2,2025-01,40.0,46.89,2026-05-17 04:24:58
Skalith,4,3,1044.9,228,5.35,244,63.75,2,1,2024-12,50.0,46.87,2026-05-17 04:24:58
Riffwire,3,2,529.5,133,4.17,87,77.33,1,2,2024-12,33.33,46.86,2026-05-17 04:24:58
Babbleset,1,1,218.5,46,4.75,36,54.0,0,1,2024-08,0.0,46.65,2026-05-17 04:24:58
Thoughtstorm,3,2,926.0,195,4.83,109,71.67,1,1,2024-09,33.33,46.4,2026-05-17 04:24:58
Realblab,4,4,876.4,286,3.08,225,65.75,2,0,2025-01,50.0,46.37,2026-05-17 04:24:58
Quinu,7,3,1541.0,398,3.79,300,44.0,3,4,2025-01,42.86,46.19,2026-05-17 04:24:58
Ooba,2,2,272.0,92,4.25,170,27.0,0,1,2025-02,0.0,46.16,2026-05-17 04:24:58
Lajo,3,2,699.85,251,2.92,241,45.67,1,1,2024-10,33.33,46.1,2026-05-17 04:24:58
Roomm,2,2,237.5,133,1.75,130,82.0,1,0,2025-02,50.0,45.83,2026-05-17 04:24:58
Twitterworks,1,1,225.0,30,7.5,80,43.0,0,0,2024-10,0.0,45.83,2026-05-17 04:24:58
Bluejam,2,2,954.0,174,5.5,106,38.0,0,2,2025-02,0.0,45.81,2026-05-17 04:24:58
Izio,3,2,839.4,176,5.43,255,42.0,1,1,2024-12,33.33,45.79,2026-05-17 04:24:58
Meembee,3,2,447.5,127,2.6,191,54.0,1,0,2025-01,33.33,45.74,2026-05-17 04:24:58
Jazzy,2,2,199.5,105,2.0,122,83.0,1,1,2025-01,50.0,45.67,2026-05-17 04:24:58
Tanoodle,5,4,799.9,253,3.86,291,41.2,2,2,2025-02,40.0,45.65,2026-05-17 04:24:58
Oba,3,2,455.5,174,2.5,252,41.33,1,0,2025-01,33.33,45.4,2026-05-17 04:24:58
InnoZ,2,2,990.0,152,6.5,114,83.5,1,2,2024-12,50.0,45.35,2026-05-17 04:24:58
Flashspan,4,3,548.0,199,2.62,248,57.75,2,2,2024-12,50.0,45.25,2026-05-17 04:24:58
Quimm,1,1,222.5,89,2.5,27,51.0,0,0,2024-07,0.0,45.2,2026-05-17 04:24:58
Feednation,1,1,229.5,51,4.5,73,42.0,0,1,2025-02,0.0,45.11,2026-05-17 04:24:58
Kwimbee,3,2,1456.0,188,7.33,153,59.0,1,1,2025-01,33.33,45.06,2026-05-17 04:24:58
Abatz,3,2,325.9,111,2.97,244,41.67,1,0,2025-01,33.33,45.04,2026-05-17 04:24:58
Talane,4,3,1136.0,243,4.81,264,53.75,2,0,2024-12,50.0,44.95,2026-05-17 04:24:58
Eayo,2,2,246.0,45,5.0,173,71.0,1,0,2024-09,50.0,44.95,2026-05-17 04:24:58
Livefish,1,1,36.0,18,2.0,54,45.0,0,0,2024-10,0.0,44.93,2026-05-17 04:24:58
Fivespan,1,1,207.9,99,2.1,46,46.0,0,1,2024-12,0.0,44.77,2026-05-17 04:24:58
Jabberstorm,3,2,624.2,273,2.3,161,23.67,0,1,2025-02,0.0,44.6,2026-05-17 04:24:58
Bubblemix,5,3,941.6,363,2.65,358,44.2,3,2,2025-01,60.0,44.51,2026-05-17 04:24:58
Chatterpoint,2,1,656.75,124,4.88,131,77.5,1,1,2024-12,50.0,44.49,2026-05-17 04:24:58
Dabtype,4,3,1095.5,166,5.69,214,61.25,2,1,2024-12,50.0,44.34,2026-05-17 04:24:58
Voonder,3,3,590.6,125,4.9,133,92.67,2,1,2024-12,66.67,44.3,2026-05-17 04:24:58
Wikibox,2,1,191.7,108,1.78,171,69.0,1,0,2025-01,50.0,44.21,2026-05-17 04:24:58
Linkbridge,2,2,637.0,174,3.5,155,72.0,1,1,2024-07,50.0,44.2,2026-05-17 04:24:58
Dabfeed,1,1,570.0,76,7.5,31,47.0,0,0,2024-08,0.0,44.19,2026-05-17 04:24:58
Shuffletag,3,3,598.15,160,3.88,201,47.0,1,0,2024-10,33.33,44.17,2026-05-17 04:24:58
Ozu,4,2,1152.5,242,4.75,251,53.25,2,1,2024-09,50.0,44.03,2026-05-17 04:24:58
Cogilith,3,3,467.0,163,4.0,163,53.67,1,2,2025-01,33.33,44.0,2026-05-17 04:24:58
Skyndu,3,3,499.0,220,2.17,139,58.0,1,1,2024-09,33.33,43.93,2026-05-17 04:24:58
Zoonder,2,2,566.0,119,4.5,114,78.5,1,1,2024-11,50.0,43.81,2026-05-17 04:24:58
Bluezoom,3,3,855.5,205,4.27,174,18.33,0,1,2024-10,0.0,43.71,2026-05-17 04:24:58
Eire,3,2,271.8,81,4.6,228,72.67,2,2,2024-10,66.67,43.69,2026-05-17 04:24:58
Thoughtblab,5,2,2180.0,345,5.6,222,9.0,0,1,2025-01,0.0,43.64,2026-05-17 04:24:58
Jabbersphere,6,2,1757.2,303,5.48,353,48.67,4,3,2025-01,66.67,43.6,2026-05-17 04:24:58
Thoughtworks,1,1,140.0,80,1.75,41,43.0,0,0,2024-05,0.0,43.54,2026-05-17 04:24:58
Dabshots,2,2,397.7,98,4.15,138,24.5,0,1,2024-06,0.0,43.51,2026-05-17 04:24:58
Demimbu,3,1,608.2,205,2.87,245,36.0,1,0,2025-01,33.33,43.35,2026-05-17 04:24:58
Jaloo,2,2,755.4,84,7.65,89,80.5,1,2,2024-06,50.0,42.96,2026-05-17 04:24:58
Twimm,2,2,293.0,125,2.25,107,77.0,1,2,2024-05,50.0,42.93,2026-05-17 04:24:58
Dynabox,4,3,857.7,255,3.58,304,39.25,2,3,2024-09,50.0,42.81,2026-05-17 04:24:58
Pixonyx,3,1,709.15,145,4.63,197,43.0,1,2,2025-02,33.33,42.69,2026-05-17 04:24:58
Camimbo,1,1,484.0,88,5.5,57,37.0,0,0,2024-04,0.0,42.63,2026-05-17 04:24:58
Mudo,3,2,415.25,145,3.25,227,37.0,1,1,2024-11,33.33,42.6,2026-05-17 04:24:58
Geba,5,3,1456.5,260,5.1,322,44.4,3,3,2024-12,60.0,42.46,2026-05-17 04:24:58
Feedfire,4,2,1592.5,341,4.62,213,55.25,2,3,2024-12,50.0,42.42,2026-05-17 04:24:58
Blogpad,3,1,639.0,166,3.67,107,59.0,1,0,2025-01,33.33,42.36,2026-05-17 04:24:58
Oloo,2,2,252.0,132,2.25,106,74.5,1,0,2024-12,50.0,42.1,2026-05-17 04:24:58
Kwilith,3,2,509.0,144,3.58,216,69.33,2,1,2024-08,66.67,41.95,2026-05-17 04:24:58
Skyble,3,3,480.79999999999995,203,2.3,157,15.67,0,2,2024-07,0.0,41.9,2026-05-17 04:24:58
Youopia,2,2,738.0,140,4.5,99,74.5,1,1,2024-11,50.0,41.69,2026-05-17 04:24:58
Youspan,1,1,378.0,84,4.5,64,32.0,0,0,2024-10,0.0,41.49,2026-05-17 04:24:58
Twiyo,1,1,301.0,43,7.0,95,26.0,0,1,2024-10,0.0,41.45,2026-05-17 04:24:58
Jetpulse,3,3,768.0,168,4.5,144,49.0,1,0,2025-02,33.33,41.44,2026-05-17 04:24:58
Miboo,3,2,340.75,144,3.42,165,77.33,2,0,2025-01,66.67,41.43,2026-05-17 04:24:58
Shufflebeat,2,2,456.0,126,4.0,86,75.5,1,1,2024-12,50.0,41.23,2026-05-17 04:24:58
Blogtag,2,2,639.0,126,7.5,107,71.0,1,1,2024-11,50.0,41.07,2026-05-17 04:24:58
Edgeify,1,1,228.0,57,4.0,56,32.0,0,0,2024-06,0.0,41.02,2026-05-17 04:24:58
LiveZ,2,2,1075.0,159,7.0,112,69.5,1,0,2024-10,50.0,40.9,2026-05-17 04:24:58
Tagtune,3,2,542.8000000000001,165,2.55,159,76.67,2,2,2024-07,66.67,40.88,2026-05-17 04:24:58
Feedfish,1,1,57.5,23,2.5,95,24.0,0,0,2024-12,0.0,40.84,2026-05-17 04:24:58
Devcast,4,3,1178.6,261,4.35,261,41.0,2,2,2025-01,50.0,40.83,2026-05-17 04:24:58
Skidoo,5,3,1478.9,252,5.9,209,41.0,2,2,2024-11,40.0,40.78,2026-05-17 04:24:58
Vinder,6,4,773.0,202,4.33,301,48.67,4,1,2025-02,66.67,40.55,2026-05-17 04:24:58
Skaboo,2,2,400.5,155,2.5,100,70.5,1,0,2024-11,50.0,40.51,2026-05-17 04:24:58
JumpXS,1,1,55.0,11,5.0,88,24.0,0,0,2024-09,0.0,40.42,2026-05-17 04:24:58
Layo,4,2,779.6,135,5.2,271,37.5,2,2,2025-01,50.0,40.33,2026-05-17 04:24:58
Babbleopia,1,1,580.0,58,10.0,75,26.0,0,1,2024-11,0.0,40.28,2026-05-17 04:24:58
Riffpedia,1,1,196.8,82,2.4,48,31.0,0,1,2024-12,0.0,40.24,2026-05-17 04:24:58
Tazz,3,2,804.5,146,4.83,190,36.0,1,1,2025-02,33.33,40.12,2026-05-17 04:24:58
Vidoo,4,3,1277.0,290,5.12,242,42.25,2,2,2025-02,50.0,40.1,2026-05-17 04:24:58
Kanoodle,5,3,469.1,177,3.06,316,56.8,4,3,2025-02,80.0,39.94,2026-05-17 04:24:58
Livetube,5,2,820.5,258,2.8,248,49.8,3,1,2024-11,60.0,39.79,2026-05-17 04:24:58
Npath,2,2,464.1,119,4.58,135,61.5,1,1,2024-12,50.0,39.78,2026-05-17 04:24:58
Wikido,2,2,397.0,62,5.5,71,73.0,1,0,2024-10,50.0,39.58,2026-05-17 04:24:58
Meemm,1,1,200.0,100,2.0,26,33.0,0,0,2024-03,0.0,39.57,2026-05-17 04:24:58
Quaxo,2,1,961.0,127,8.0,62,74.5,1,1,2024-10,50.0,39.52,2026-05-17 04:24:58
Pixoboo,1,1,316.0,79,4.0,46,29.0,0,0,2025-01,0.0,39.51,2026-05-17 04:24:58
