category,status,product_count,total_inventory_value,total_stock,avg_unit_price,low_stock_count,avg_reorder_quantity,low_stock_pct,gold_processed_at
Bakery,Active,22,5840.15,1325,4.41,10,49.5,45.45,2026-04-27 19:17:44
Bakery,Backordered,29,6218.25,1679,3.74,13,63.0,44.83,2026-04-27 19:17:44
Bakery,Discontinued,23,4730.4,1171,4.14,12,48.7,52.17,2026-04-27 19:17:44
Beverages,Active,31,26257.0,1635,15.03,14,49.0,45.16,2026-04-27 19:17:44
Beverages,Backordered,23,22827.0,1255,18.01,11,62.0,47.83,2026-04-27 19:17:44
Beverages,Discontinued,21,13858.25,932,15.23,11,44.8,52.38,2026-04-27 19:17:44
Dairy,Active,56,18785.55,3415,5.28,14,45.0,25.0,2026-04-27 19:17:44
Dairy,Backordered,59,16372.7,3304,4.43,32,50.6,54.24,2026-04-27 19:17:44
Dairy,Discontinued,65,15443.7,3815,3.91,33,57.1,50.77,2026-04-27 19:17:44
Fruits & Vegetables,Active,108,27763.16,5924,4.8,52,49.9,48.15,2026-04-27 19:17:44
Fruits & Vegetables,Backordered,112,26823.91,6436,4.3,44,47.4,39.29,2026-04-27 19:17:44
Fruits & Vegetables,Discontinued,111,31446.09,6129,4.74,50,52.3,45.05,2026-04-27 19:17:44
Grains & Pulses,Active,56,11128.1,2776,4.0,24,49.6,42.86,2026-04-27 19:17:44
Grains & Pulses,Backordered,54,11326.5,2803,3.82,31,53.6,57.41,2026-04-27 19:17:44
Grains & Pulses,Discontinued,52,9514.6,2661,3.71,27,60.8,51.92,2026-04-27 19:17:44
Oils & Fats,Active,23,5939.4,1376,4.49,7,38.6,30.43,2026-04-27 19:17:44
Oils & Fats,Backordered,24,5232.4,1223,4.1,14,54.9,58.33,2026-04-27 19:17:44
Oils & Fats,Discontinued,30,6039.7,1524,4.17,19,52.5,63.33,2026-04-27 19:17:44
Seafood,Active,36,25505.7,2238,11.23,15,52.1,41.67,2026-04-27 19:17:44
Seafood,Backordered,24,15393.0,1435,11.63,11,62.9,45.83,2026-04-27 19:17:44
Seafood,Discontinued,30,21617.2,1928,10.91,11,55.9,36.67,2026-04-27 19:17:44
