supplier_name,total_products,categories_supplied,total_inventory_value,total_stock,avg_unit_price,total_sales_volume,avg_turnover_rate,low_stock_count,active_products,low_stock_pct,supply_reliability_score,gold_processed_at
Katz,12,7,3439.25,701,4.6,800,65.5,4,3,33.33,79.64,2026-04-27 19:17:44
Trupe,2,1,368.0,139,2.5,179,89.5,0,1,0.0,65.17,2026-04-27 19:17:44
Babblestorm,7,4,1176.1,348,3.41,403,62.14,1,3,14.29,63.93,2026-04-27 19:17:44
Quatz,9,5,2466.0,460,4.97,558,62.89,4,4,44.44,63.07,2026-04-27 19:17:44
Mybuzz,6,4,1778.5,397,4.25,300,60.67,0,3,0.0,62.47,2026-04-27 19:17:44
Fanoodle,1,1,1095.0,73,15.0,89,92.0,0,1,0.0,61.33,2026-04-27 19:17:44
Brainbox,1,1,230.0,46,5.0,64,96.0,0,1,0.0,61.28,2026-04-27 19:17:44
Mymm,1,1,740.0,74,10.0,37,99.0,0,1,0.0,60.82,2026-04-27 19:17:44
Abata,3,3,1600.0,215,6.5,231,66.67,0,1,0.0,60.78,2026-04-27 19:17:44
Gigashots,6,4,963.5,348,2.91,427,65.67,2,2,33.33,60.54,2026-04-27 19:17:44
Aibox,3,3,900.0,153,6.67,194,71.33,0,1,0.0,60.33,2026-04-27 19:17:44
Kazio,1,1,667.5,89,7.5,48,94.0,0,1,0.0,59.84,2026-04-27 19:17:44
Fatz,1,1,405.0,90,4.5,81,88.0,0,0,0.0,59.68,2026-04-27 19:17:44
Edgetag,1,1,545.61,39,13.99,58,90.0,0,1,0.0,59.12,2026-04-27 19:17:44
Yadel,3,3,2282.25,239,9.92,199,66.33,0,2,0.0,59.04,2026-04-27 19:17:44
Cogidoo,1,1,258.1,58,4.45,62,89.0,0,1,0.0,59.01,2026-04-27 19:17:44
Topicware,2,2,530.1500000000001,140,3.98,173,69.0,0,2,0.0,58.53,2026-04-27 19:17:44
Divape,1,1,445.0,89,5.0,94,81.0,0,0,0.0,58.18,2026-04-27 19:17:44
Twitterbridge,2,2,742.5,144,6.25,156,70.0,0,0,0.0,57.96,2026-04-27 19:17:44
Jamia,1,1,651.0,93,7.0,72,83.0,0,0,0.0,57.67,2026-04-27 19:17:44
Einti,3,2,417.2,219,1.57,183,64.0,0,0,0.0,57.49,2026-04-27 19:17:44
Innojam,4,3,1262.25,186,6.56,228,56.25,0,2,0.0,57.41,2026-04-27 19:17:44
Jaxspan,6,3,2813.5,339,8.33,380,63.0,2,2,33.33,57.3,2026-04-27 19:17:44
Skipstorm,2,2,2595.6,166,13.4,171,65.0,0,2,0.0,57.19,2026-04-27 19:17:44
Twitterwire,7,3,2189.7,538,4.49,393,40.57,1,2,14.29,56.74,2026-04-27 19:17:44
Midel,3,3,1199.0,183,6.67,217,55.0,0,2,0.0,56.46,2026-04-27 19:17:44
Roomm,3,3,1011.5,219,4.17,230,83.33,1,0,33.33,55.89,2026-04-27 19:17:44
Fadeo,1,1,116.0,58,2.0,53,80.0,0,1,0.0,55.77,2026-04-27 19:17:44
Dynava,2,2,942.5,197,4.75,118,68.5,0,0,0.0,55.55,2026-04-27 19:17:44
Realmix,3,3,2086.0,189,9.67,250,45.67,0,0,0.0,55.26,2026-04-27 19:17:44
Skippad,2,2,896.8,197,4.55,130,65.0,0,1,0.0,55.08,2026-04-27 19:17:44
Janyx,3,2,986.5,140,7.17,172,57.0,0,1,0.0,54.76,2026-04-27 19:17:44
Photobug,7,5,1337.0,357,4.03,468,48.57,3,2,42.86,54.5,2026-04-27 19:17:44
Flashset,2,2,356.8,131,2.9,91,69.5,0,1,0.0,54.47,2026-04-27 19:17:44
Skimia,6,3,1641.95,312,4.82,427,45.83,2,1,33.33,54.4,2026-04-27 19:17:44
Trunyx,3,2,965.2,272,3.6,166,56.0,0,3,0.0,54.15,2026-04-27 19:17:44
Flashdog,1,1,272.6,94,2.9,57,74.0,0,0,0.0,54.12,2026-04-27 19:17:44
Voonix,1,1,364.9,82,4.45,30,78.0,0,0,0.0,53.97,2026-04-27 19:17:44
Thoughtmix,2,2,547.6,156,3.9,156,57.0,0,1,0.0,53.94,2026-04-27 19:17:44
Voonte,1,1,750.5,79,9.5,83,69.0,0,0,0.0,53.91,2026-04-27 19:17:44
Babbleopia,2,2,1417.0,151,9.5,153,56.5,0,2,0.0,53.63,2026-04-27 19:17:44
Youspan,3,3,1964.0,167,14.17,150,56.67,0,0,0.0,53.53,2026-04-27 19:17:44
Yozio,2,2,1030.0,139,7.75,111,63.0,0,1,0.0,53.49,2026-04-27 19:17:44
Lajo,4,3,1462.35,312,5.31,336,49.5,1,2,25.0,53.37,2026-04-27 19:17:44
Zoonder,3,3,1376.0,200,6.33,209,78.0,1,1,33.33,53.16,2026-04-27 19:17:44
Skyndu,5,4,2179.0,350,6.7,253,56.8,1,2,20.0,52.86,2026-04-27 19:17:44
Gigabox,3,2,305.6,142,2.13,229,73.33,1,0,33.33,52.74,2026-04-27 19:17:44
Gabcube,1,1,540.0,60,9.0,95,63.0,0,1,0.0,52.67,2026-04-27 19:17:44
Tambee,1,1,340.0,85,4.0,95,63.0,0,1,0.0,52.67,2026-04-27 19:17:44
Realpoint,3,3,1460.0,229,6.12,174,49.67,0,0,0.0,52.6,2026-04-27 19:17:44
Flipopia,6,4,1963.5,337,5.42,271,65.67,2,3,33.33,52.53,2026-04-27 19:17:44
Youbridge,5,3,900.8199999999999,298,2.78,298,67.6,2,2,40.0,52.51,2026-04-27 19:17:44
Oozz,2,2,1218.0,121,10.5,148,53.0,0,1,0.0,52.29,2026-04-27 19:17:44
Meezzy,1,1,272.6,58,4.7,85,63.0,0,1,0.0,52.15,2026-04-27 19:17:44
Edgewire,3,1,670.2,174,2.9,153,51.67,0,1,0.0,52.14,2026-04-27 19:17:44
Avavee,2,2,1327.5,141,8.75,80,63.0,0,0,0.0,51.9,2026-04-27 19:17:44
Jaxbean,1,1,441.0,98,4.5,86,62.0,0,0,0.0,51.89,2026-04-27 19:17:44
Feedfish,3,2,2133.5,195,8.83,216,40.33,0,1,0.0,51.87,2026-04-27 19:17:44
Meejo,2,2,291.9,180,1.65,91,60.5,0,0,0.0,51.69,2026-04-27 19:17:44
Trilia,3,2,750.5,153,5.48,149,83.0,1,2,33.33,51.63,2026-04-27 19:17:44
Skinte,2,2,301.75,170,1.78,113,56.5,0,0,0.0,51.58,2026-04-27 19:17:44
Skinix,4,1,2114.42,278,7.08,341,66.0,2,0,50.0,51.23,2026-04-27 19:17:44
Aimbu,1,1,961.0,62,15.5,34,68.0,0,0,0.0,51.08,2026-04-27 19:17:44
Aivee,3,3,1780.0,196,9.5,281,59.33,1,1,33.33,51.08,2026-04-27 19:17:44
Blogspan,2,2,574.0,86,6.5,100,57.0,0,1,0.0,51.07,2026-04-27 19:17:44
Devshare,6,4,1627.0,374,4.58,366,61.33,3,1,50.0,51.06,2026-04-27 19:17:44
Flipbug,5,4,2279.1,259,8.49,313,60.4,2,0,40.0,51.06,2026-04-27 19:17:44
Rooxo,2,1,485.0,100,5.75,86,59.0,0,1,0.0,50.97,2026-04-27 19:17:44
Zazio,2,2,1475.0,167,9.12,127,51.5,0,1,0.0,50.75,2026-04-27 19:17:44
Meevee,10,4,1943.3500000000001,513,3.58,534,41.7,6,1,60.0,50.62,2026-04-27 19:17:44
Oyondu,4,3,632.3,245,2.61,237,56.75,1,1,25.0,50.52,2026-04-27 19:17:44
Izio,4,2,2015.4,274,7.08,317,43.25,1,2,25.0,50.46,2026-04-27 19:17:44
Jazzy,3,3,1083.25,140,9.75,175,74.0,1,1,33.33,50.18,2026-04-27 19:17:44
Tagpad,3,3,2598.7,212,10.43,232,64.33,1,1,33.33,50.11,2026-04-27 19:17:44
Eimbee,7,4,1837.0,341,5.09,466,48.14,4,0,57.14,49.98,2026-04-27 19:17:44
Zooveo,1,1,222.0,37,6.0,47,62.0,0,0,0.0,49.89,2026-04-27 19:17:44
Babbleblab,1,1,265.0,53,5.0,82,56.0,0,0,0.0,49.83,2026-04-27 19:17:44
Yamia,3,2,785.1,194,3.97,223,64.67,1,1,33.33,49.76,2026-04-27 19:17:44
Myworks,1,1,810.0,27,30.0,34,63.0,0,0,0.0,49.53,2026-04-27 19:17:44
Eare,2,1,768.0,128,6.0,130,46.0,0,0,0.0,49.21,2026-04-27 19:17:44
Fiveclub,3,3,1615.0,220,7.17,186,36.33,0,1,0.0,49.09,2026-04-27 19:17:44
Wikibox,3,2,1131.7,155,7.85,232,60.67,1,1,33.33,48.98,2026-04-27 19:17:44
