transaction_id,store_id,cashier_id,product_id,product_category,unit_price,quantity,transaction_time,customer_age,loyalty_member,payment_method,discount,total_amount
T100000,S6,C131,P828,Clothing,454.86,5,2025-04-28 07:46:41.430932,70,Yes,UPI,0.51,2262.7
T100001,S10,C367,P666,Grocery,296.22,2,2024-06-19 09:11:39.905305,58,Yes,Debit Card,10.94,527.63
T100002,S7,C257,P314,Grocery,488.44,3,2024-10-30 09:03:30.761970,36,No,Mobile Wallet,3.2,1418.43
T100003,S21,C161,P190,Personal Care,461.66,8,2025-01-25 17:56:05.475620,22,Yes,Cash,15.48,3121.56
T100004,S46,C484,P451,Personal Care,374.91,3,2023-12-11 11:37:02.224161,21,Yes,Credit Card,16.14,943.2
T100005,S43,C345,P693,Personal Care,355.64,5,2024-03-05 13:23:54.364590,49,Yes,UPI,16.6,1483.02
T100006,S6,C424,P873,Personal Care,27.27,9,2024-04-13 08:00:16.892593,30,No,Debit Card,28.07,176.54
T100007,S14,C38,P635,Clothing,151.21,10,2024-08-20 18:55:52.964166,34,No,UPI,9.01,1375.86
T100008,S8,C437,P366,Beverages,286.27,4,2023-09-13 18:23:28.235676,68,Yes,UPI,17.08,949.5
T100009,S22,C413,P331,Grocery,446.05,8,2025-02-22 15:08:10.677514,37,No,UPI,7.13,3313.97
T100010,S15,C395,P381,Clothing,65.35,8,2024-09-18 04:17:32.922260,52,Yes,Debit Card,5.69,493.05
T100011,S22,C137,P832,Personal Care,428.62,4,2025-08-29 06:10:18.325689,48,Yes,Cash,28.11,1232.54
T100012,S49,C292,P896,Beverages,318.44,10,2024-01-12 01:45:45.731495,30,No,Credit Card,24.38,2408.04
T100013,S17,C469,P589,Grocery,208.18,1,2024-08-27 20:42:03.416568,25,Yes,UPI,14.72,177.54
T100014,S37,C491,P359,Personal Care,499.57,5,2024-11-01 02:24:24.888045,26,Yes,Debit Card,3.84,2401.93
T100015,S44,C283,P599,Household,251.32,4,2024-11-06 22:00:22.901031,29,Yes,Mobile Wallet,4.46,960.44
